##########
Profile for 12h LTST, a latitude of 18.45 deg North and a longitude of 77.4 deg East at Ls=180deg
##########
Altitude,wind,w_l,t,p,rho,vmr_co2,vmr_ar,vmr_n2,vmr_o2,Cp,vmr_h2o,Att_1Hz,C_1Hz,Att_10Hz,C_10Hz,Att_100Hz,C_100Hz,Att_1000Hz,C_1000Hz,Att_10000Hz,C_10000Hz,Att_100000Hz,C_100000Hz,Att_84Hz,C_84Hz,Att_168Hz,C_168Hz
5,1.80023,7.2496e-05,236.74,648.223,0.0143456,0.949968,0.0202393,0.0270022,0.00157815,791.496,0.000233244,1.52220448433156e-05,245.335325275853,0.000586001338033182,245.47280921139,0.033861850862392,248.143595332364,0.084307117366561,252.112864629031,0.312924633675569,252.212108371361,23.0561564713044,252.213115711772,0.0271441882633542,247.600375646568,0.054910187059149,249.859269160797
5.29412,1.80901,7.2496e-05,236.452,648.207,0.0143452,0.949968,0.0202393,0.0270022,0.00157815,791.17,0.000233244,1.51800248142961e-05,245.198195761089,0.000587227453108432,245.334889692946,0.0338293356050968,248.01159099619,0.0838177728523411,251.955849509994,0.312289247209789,252.053953261601,23.0426394467416,252.054948902749,0.0271370551840012,247.468653302409,0.0547378445007857,249.721395170912
5.58824,1.82143,7.45074e-05,236.342,648.191,0.0143455,0.949968,0.0202393,0.0270022,0.00157815,791.047,0.000233244,1.5164161429354e-05,245.14672334012,0.000587708413788694,245.283120021642,0.0338169133255562,247.962154903793,0.0836300771635968,251.896854982063,0.312039884632708,251.99452380041,23.0368813959477,251.995514978472,0.0271344198502596,247.419319556428,0.0546716201496349,249.669716703238
5.88235,1.83609,7.82831e-05,236.322,648.175,0.0143464,0.949968,0.0202394,0.0270022,0.00157815,791.024,0.000233244,1.51614828775872e-05,245.137458518871,0.000587810061161513,245.273802186203,0.033814966787868,247.953340898123,0.0835949674571032,251.886271768878,0.311997110098005,251.983858631106,23.0361974483102,251.984848967997,0.0271342774185021,247.410514909587,0.0546595529507376,249.660502167401
6.17647,1.85067,8.20589e-05,236.303,648.159,0.0143473,0.949968,0.0202394,0.0270022,0.00157815,791.002,0.000233244,1.51589923314873e-05,245.128722641861,0.000587909182840713,245.265016479781,0.0338132325891618,247.945047513748,0.0835618306711693,251.876310163031,0.311959074176793,251.97381940937,23.0357884182253,251.9748089496,0.0271342393897583,247.402228070836,0.0546482473817792,249.651834531194
6.47059,1.86531,8.58346e-05,236.283,648.144,0.0143481,0.949968,0.0202394,0.0270022,0.00157815,790.979,0.000233244,1.51563046627112e-05,245.119466504012,0.000588010106160756,245.255707434384,0.0338112686087038,247.936237577838,0.0835268804380782,251.86573580679,0.311919503602029,251.963163489226,23.0354114023656,251.964152192347,0.0271340772617725,247.393428117861,0.0546361954898119,249.642623823036
6.76471,1.8799,8.96072e-05,236.263,648.128,0.014349,0.949968,0.0202394,0.0270022,0.00157815,790.957,0.000233244,1.51536261635031e-05,245.110210038354,0.000588111884871682,245.246398112888,0.0338093092518094,247.927432012165,0.0834917864695861,251.855161228633,0.311876658532966,251.95250710984,23.0347184457746,251.953494973422,0.027133925899346,247.384632199043,0.0546241104597541,249.633416848648
7.05882,1.89448,9.3383e-05,236.243,648.112,0.0143498,0.949968,0.0202394,0.0270022,0.00157815,790.934,0.000233244,1.51509475728296e-05,245.100953104744,0.000588213688271295,245.237088370077,0.0338073458221613,247.918625790281,0.0834567365868385,251.844586128314,0.31183722880917,251.9418502681,23.0343659075501,251.94283729277,0.0271337714804204,247.375835747522,0.0546120215915512,249.624208894816
7.35294,1.90907,9.71587e-05,236.223,648.096,0.0143507,0.949968,0.0202394,0.0270022,0.00157815,790.912,0.000233244,1.51482689785639e-05,245.091695702824,0.00058831552514996,245.2277782059,0.033805379166698,247.909818912288,0.0834218127414403,251.834010505875,0.311809404232567,251.931192963984,23.0351727625902,251.93217915037,0.0271336146052106,247.367038763395,0.0545999312426226,249.614999961809
7.64706,1.92366,0.000100931,236.203,648.08,0.0143516,0.949968,0.0202394,0.0270022,0.00157815,790.889,0.000233244,1.51455901436643e-05,245.082437832538,0.000588417371673381,245.218467620457,0.03380340687789,247.901011383521,0.0833867818288342,251.823434361669,0.311769909166598,251.920535197474,23.0348114830623,251.9215205462,0.0271334535739991,247.358241251523,0.054587832672181,249.6057900548
7.94118,1.93823,0.000104707,236.183,648.065,0.0143524,0.949968,0.0202394,0.0270022,0.00157815,790.867,0.000233245,1.5142901897372e-05,245.073179353825,0.000588518403298501,245.209156468519,0.0338014208957041,247.892198191338,0.083351881257001,251.812857397635,0.311730447168019,251.909876965481,23.0344398594231,251.910861480207,0.0271332750335168,247.349438654721,0.0545757566607591,249.5965744828
8.23529,1.94831,0.000108483,236.163,648.049,0.0143533,0.949968,0.0202394,0.0270022,0.00157815,790.844,0.000233245,1.51402227913755e-05,245.063920546979,0.000588620289122524,245.199845040159,0.0337994394225471,247.883389354506,0.0833168369293634,251.80228020984,0.311687656890445,251.899218274118,23.0337468613285,251.900201952432,0.0271331071556045,247.340640080973,0.0545636474849569,249.587362623743
8.52941,1.95729,0.000112255,236.143,648.033,0.0143541,0.949968,0.0202394,0.0270022,0.00157815,790.822,0.000233245,1.51375435993171e-05,245.054661271583,0.000588722199674937,245.190533190192,0.0337974538731796,247.874579859941,0.0832818366190214,251.79170249997,0.311648276023549,251.888559120293,23.0333936896133,251.88954196282,0.0271329362150199,247.331840973174,0.0545515344871553,249.578149784688
8.82353,1.96618,0.000116031,236.123,648.017,0.014355,0.949968,0.0202394,0.0270022,0.00157815,790.799,0.000233245,1.51348642500448e-05,245.045401527578,0.000588824127717953,245.181220918585,0.0337954635344363,247.86576970819,0.0832468121946282,251.781124268093,0.311605501575118,251.877899503985,23.0327000555108,251.878881511351,0.0271327617057506,247.323041331826,0.0545394156919379,249.568935966321
9.11765,1.97515,0.000119807,236.104,648.002,0.0143559,0.949968,0.0202394,0.0270022,0.00157815,790.777,0.000233245,1.51323613805894e-05,245.036655349646,0.000588922550906655,245.172425325624,0.0337936742899801,247.857458945194,0.0832138796260922,251.771150536572,0.311567577176251,251.867848995578,23.0322801992347,251.86883021504,0.0271326751001414,247.314738825898,0.054528085293698,249.560247923926
9.41176,1.98408,0.000123583,236.084,647.986,0.0143567,0.949968,0.0202394,0.0270022,0.00157815,790.754,0.000233245,1.51296818468231e-05,245.027394693414,0.000589024525665671,245.16311223332,0.0337916756749031,247.848647523572,0.0831789076539696,251.760571284547,0.311528155593263,251.85718847416,23.0319197230061,251.858168859669,0.0271324944024789,247.305938154864,0.0545159580190789,249.55103220674
9.70588,1.993,0.000127355,236.064,647.97,0.0143576,0.949968,0.0202394,0.0270022,0.00157815,790.732,0.000233245,1.51270021608513e-05,245.018133568541,0.000589126517971289,245.153798719202,0.0337896722833423,247.839835443506,0.0831439130258836,251.749991510546,0.311485485720108,251.846527490196,23.0312333132978,251.847507042376,0.0271323101425262,247.297136949158,0.0545038250017273,249.541815509578
10,2.00193,0.000131131,236.044,647.954,0.0143585,0.949968,0.0202394,0.0270022,0.00157815,790.709,0.000233245,1.5124322394434e-05,245.008871974819,0.000589228534930763,245.144484783182,0.0337876648145265,247.831022703707,0.0831089626863378,251.739411214526,0.31144625210446,251.835866043662,23.030889414876,251.836844763138,0.0271321228146873,247.288335207616,0.0544916881903213,249.532597831415
11,2.03224,0.000143965,235.976,647.9,0.0143614,0.949968,0.0202394,0.0270022,0.00157815,790.633,0.000233246,1.51168520272259e-05,244.981529706563,0.000589639363385864,245.116984252985,0.0337844719934592,247.805610435416,0.0829988060680341,251.708567676769,0.311299927810648,251.804761535047,23.027533282758,251.805737575149,0.0271344035203464,247.262882595544,0.0544563047169455,249.506055373455
13.6176,2.09246,0.000177562,235.799,647.76,0.014369,0.949968,0.0202394,0.0270022,0.00157815,790.432,0.000233246,1.50912406524652e-05,244.895102671573,0.000590469362014146,245.030075803576,0.0337621462175333,247.72267783612,0.0826802915310341,251.609354557467,0.310951133956744,251.70481852552,23.0252559414644,251.705787078902,0.0271290953853057,247.180145968761,0.0543417558559864,249.419234164384
16.2353,2.14082,0.000211158,235.622,647.62,0.0143767,0.949968,0.0202394,0.0270023,0.00157816,790.232,0.000233247,1.50676306095856e-05,244.813228222737,0.000591379314836345,244.94774660406,0.0337440197488262,247.6447675111,0.0823733932250863,251.515878940291,0.310588953610344,251.610635493529,23.0204393353872,251.611596789981,0.0271271685310153,247.102346600468,0.0542342217308719,249.337712128392
18.8529,2.18238,0.000244754,235.445,647.479,0.0143844,0.949968,0.0202394,0.0270023,0.00157816,790.031,0.000233248,1.5044026940356e-05,244.731327267405,0.000592292073222929,244.865394634887,0.0337255635269756,247.566822124658,0.082067317939055,251.422374484225,0.310245891752579,251.516427859855,23.0174626919462,251.51738194391,0.0271250027993264,247.024521236373,0.0541262976806252,249.256130173137
21.4706,2.21019,0.000278351,235.268,647.339,0.014392,0.949968,0.0202394,0.0270023,0.00157816,789.831,0.000233249,1.50203754162596e-05,244.64928915349,0.000593204365993331,244.782908768567,0.0337066790163499,247.48871085633,0.0817618259827909,251.328708813762,0.309888834877587,251.422063565662,23.0130046832587,251.423010485136,0.0271225033677915,246.946541797149,0.0540179197587769,249.174353041456
24.0882,2.23792,0.000311944,235.091,647.198,0.0143997,0.949968,0.0202394,0.0270023,0.00157816,789.63,0.00023325,1.49978366136824e-05,244.57077259365,0.000594162986945993,244.703962026706,0.0336898406794955,247.414407683264,0.081462180662283,251.239240407242,0.30952712246303,251.331909783222,23.0074766157903,251.332849673943,0.027121691284733,246.872323967395,0.0539128698167176,249.096529714518
26.7059,2.26554,0.00034554,234.914,647.058,0.0144073,0.949968,0.0202394,0.0270023,0.00157816,789.429,0.00023325,1.49722122268335e-05,244.484163525543,0.000595000686093987,244.616890319117,0.0336657890316503,247.331212679369,0.0811477460777933,251.139835903397,0.309182556322843,251.231798779303,23.0051713043861,251.232731428554,0.0271150748738048,246.789373636074,0.0537965639706307,249.009325984693
